TAB,BATTERY,,,,,,,,,,,,,,,,,,,,,,,
SKILL TITTLE,GOLD HAMMER,,FAST TIME,,ENDURANCE,,CRITICAL CHANCE,,CRITICAL MULTIPLIER,,WORK EXPERIENCE,,ECONOMIST,,STRONG FRIENDSHIP,,INVESTOR,,ITEM MASTER,,SHARE PROFIT,,GOLD FRIENDS,
DESCRIPTION,Increases profit by X coins from each hit from character,,Reduces the cooldown of each hit by X%,,Increases Hits capacity by X%,,Increases the chance of receiving x2 profit per hit by X%,,Increases the chance of receiving x2 profit per hit by X%,,Increases experience gained from each hit by X%,,Reduces the price of upgrades by X%,,Increases bonus from friends by X%,,Increases income per hour by X%,,Reduces the price of level up items by X%,,Increases coin reward by X% of friends' profits,,Increases the reward by X coins for the invited friend,
ICON,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETRS AND PRICE,step_cost,step_parameter,step_cost,step_parameter,step_cost,step_parameter,step_cost,step_parameter,step_cost,step_parameter,step_cost,step_parameter,step_cost,step_parameter,step_cost,step_parameter,step_cost,step_parameter,step_cost,step_parameter,step_cost,step_parameter,step_cost,step_parameter
,"1,3","0,1","1,22",1,"1,22","0,3","1,22","0,05","1,22","0,03","1,3","0,5","1,3","0,2","1,3","0,1","1,3",100,"1,3","0,5","1,3","0,174","1,3",1000
,start_cost,start_parameter,start_cost,start_parameter,start_cost,start_parameter,start_cost,start_parameter,start_cost,start_parameter,start_cost,start_parameter,start_cost,start_parameter,start_cost,start_parameter,start_cost,start_parameter,start_cost,start_parameter,start_cost,start_parameter,start_cost,start_parameter
,3000,1,1750,0,2000,2,5000,"0,01",5000,"1,1",1500,0,1500,0,1000,0,1000,0,1000,1,1500,1,3000,15000
LEVEL,PRICE,PARAMETR,PRICE,PARAMETR,PRICE,PARAMETR,PRICE,PARAMETR,PRICE,PARAMETR,PRICE,PARAMETR,PRICE,PARAMETR,PRICE,PARAMETR,PRICE,PARAMETR,PRICE,PARAMETR,PRICE,PARAMETR,PRICE,PARAMETR
1,Start,"1,0",Start,0,Start,"2,0",Start,"0,0",Start,"1,1",Start,"0,0",Start,"0,0",Start,"0,0",Start,"0,0",Start,"1,0",Start,"1,0",Start,15000
2,3000,"1,1",1750,1,2000,"2,3",5000,"0,06",5000,"1,13",1500,"0,50",1500,"0,20",1000,"0,10",1000,"100,00",1000,"1,50",1500,"1,2",3000,16000
3,3900,"1,2",2135,2,2440,"2,6",6100,"0,11",6100,"1,16",1950,"1,00",1950,"0,40",1300,"0,20",1300,"200,00",1300,"2,00",1950,"1,3",3900,17000
4,5070,"1,3",2605,3,2977,"2,9",7442,"0,16",7442,"1,19",2535,"1,50",2535,"0,60",1690,"0,30",1690,"300,00",1690,"2,50",2535,"1,5",5070,18000
5,6591,"1,4",3178,4,3632,"3,2",9079,"0,21",9079,"1,22",3296,"2,00",3296,"0,80",2197,"0,40",2197,"400,00",2197,"3,00",3296,"1,7",6591,19000
6,8568,"1,5",3877,5,4431,"3,5",11077,"0,26",11077,"1,25",4284,"2,50",4284,"1,00",2856,"0,50",2856,"500,00",2856,"3,50",4284,"1,9",8568,20000
7,11139,"1,6",4730,6,5405,"3,8",13514,"0,31",13514,"1,28",5569,"3,00",5569,"1,20",3713,"0,60",3713,"600,00",3713,"4,00",5569,"2,0",11139,21000
8,14480,"1,7",5770,7,6595,"4,1",16487,"0,36",16487,"1,31",7240,"3,50",7240,"1,40",4827,"0,70",4827,"700,00",4827,"4,50",7240,"2,2",14480,22000
9,18825,"1,8",7040,8,8045,"4,4",20114,"0,41",20114,"1,34",9412,"4,00",9412,"1,60",6275,"0,80",6275,"800,00",6275,"5,00",9412,"2,4",18825,23000
10,24472,"1,9",8588,9,9815,"4,7",24539,"0,46",24539,"1,37",12236,"4,50",12236,"1,80",8157,"0,90",8157,"900,00",8157,"5,50",12236,"2,6",24472,24000
11,31813,"2,0",10478,10,11975,"5,0",29937,"0,51",29937,"1,40",15907,"5,00",15907,"2,00",10604,"1,00",10604,"1000,00",10604,"6,00",15907,"2,7",31813,25000
12,41358,"2,1",12783,11,14609,"5,3",36523,"0,56",36523,"1,43",20679,"5,50",20679,"2,20",13786,"1,10",13786,"1100,00",13786,"6,50",20679,"2,9",41358,26000
13,53765,"2,2",15595,12,17823,"5,6",44558,"0,61",44558,"1,46",26882,"6,00",26882,"2,40",17922,"1,20",17922,"1200,00",17922,"7,00",26882,"3,1",53765,27000
